H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,甲府,○,2,1,2,1,1,3,6
A,町田,●,2,3,4,4,0,3,10
H,徳島,●,0,1,4,5,-1,3,11
H,金沢,△,1,1,5,6,-1,4,15
A,熊本,●,1,2,6,8,-2,4,17
H,福岡,○,2,1,8,9,-1,7,13
A,松本,●,2,3,10,12,-2,7,17
A,山口,●,1,2,11,14,-3,7,18
H,岡山,△,1,1,12,15,-3,8,19
A,新潟,○,1,0,13,15,-2,11,15
H,東京Ｖ,○,2,0,15,15,0,14,13
A,大分,○,2,1,17,16,1,17,10
H,千葉,●,0,1,17,17,0,17,11
A,山形,△,1,1,18,18,0,18,14
H,岐阜,●,0,2,18,20,-2,18,17
A,栃木,○,1,0,19,20,-1,21,12
H,讃岐,△,2,2,21,22,-1,22,10
H,横浜FC,○,4,0,25,22,3,25,9
A,水戸,○,2,1,27,23,4,28,9
A,京都,○,3,0,30,23,7,31,7
H,愛媛,△,1,1,31,24,7,32,8
A,千葉,○,3,1,34,25,9,35,7
H,大分,○,1,0,35,25,10,38,7
A,徳島,●,1,2,36,27,9,38,7
H,松本,●,1,2,37,29,8,38,8
H,熊本,○,2,1,39,30,9,41,7
A,東京Ｖ,●,1,2,40,32,8,41,8
A,愛媛,○,5,1,45,33,12,44,7
H,新潟,○,2,1,47,34,13,47,5
H,山口,△,4,4,51,38,13,48,7
A,岐阜,○,1,0,52,38,14,51,6
H,町田,○,1,0,53,38,15,54,6
A,甲府/32節,●,0,1,53,39,14,54,6
A,讃岐,○,2,0,55,39,16,57,5
A,福岡,●,1,3,56,42,14,57,7
H,水戸,○,2,1,58,43,15,60,5
H,栃木,○,1,0,59,43,16,63,5
A,横浜FC,△,1,1,60,44,16,64,6
H,京都,●,1,2,61,46,15,64,7
A,金沢,△,1,1,62,47,15,65,7
H,山形,○,2,1,64,48,16,68,7
A,岡山,○,1,0,65,48,17,71,5
