H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,京都,○,2,0,2,0,2,3,4
H,大宮,○,3,2,5,2,3,6,3
H,甲府,△,0,0,5,2,3,7,5
A,山形,△,2,2,7,4,3,8,5
H,松本,○,2,1,9,5,4,11,2
A,金沢,△,1,1,10,6,4,12,2
A,水戸,○,1,0,11,6,5,15,2
H,熊本,△,2,2,13,8,5,16,4
A,千葉,●,2,3,15,11,4,16,4
H,山口,●,1,2,16,13,3,16,7
A,大分,●,3,4,19,17,2,16,8
A,東京Ｖ,○,4,1,23,18,5,19,6
H,横浜FC,○,1,0,24,18,6,22,5
H,讃岐,○,3,0,27,18,9,25,4
A,栃木,△,0,0,27,18,9,26,3
H,岡山,●,1,3,28,21,7,26,6
H,愛媛,○,2,1,30,22,8,29,4
A,徳島,○,2,1,32,23,9,32,4
A,岐阜,○,1,0,33,23,10,35,3
H,新潟,△,0,0,33,23,10,36,3
A,福岡,△,2,2,35,25,10,37,3
H,栃木,●,0,1,35,26,9,37,4
A,熊本,○,3,2,38,28,10,40,2
H,金沢,○,1,0,39,28,11,43,2
H,京都,○,2,1,41,29,12,46,2
A,横浜FC,○,3,2,44,31,13,49,2
H,千葉,△,3,3,47,34,13,50,3
A,松本,○,1,0,48,34,14,53,2
H,岐阜,○,1,0,49,34,15,56,1
A,甲府,○,2,0,51,34,17,59,1
H,水戸,△,0,0,51,34,17,60,1
A,大宮,●,0,1,51,35,16,60,2
H,徳島,△,1,1,52,36,16,61,2
H,山形,△,0,0,52,36,16,62,3
H,大分,○,3,2,55,38,17,65,3
H,大分,○,3,2,58,40,18,65,3
A,岡山,●,0,1,58,41,17,68,3
A,新潟,●,0,2,58,43,15,68,3
A,讃岐/35節,△,1,1,59,44,15,69,3
H,福岡,○,2,1,61,45,16,72,3
A,愛媛,○,2,0,63,45,18,75,3
H,東京Ｖ,△,1,1,64,46,18,76,4
