H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,愛媛,○,2,1,2,1,1,1,0,0,3,6
H,讃岐,●,0,1,2,2,0,1,0,1,3,11
H,福岡,●,0,1,2,3,-1,1,0,2,3,12
A,大宮,△,1,1,3,4,-1,1,1,2,4,16
A,山口,△,2,2,5,6,-1,1,2,2,5,13
H,町田,△,1,1,6,7,-1,1,3,2,6,16
A,横浜FC,○,4,0,10,7,3,2,3,2,9,11
H,千葉,○,3,1,13,8,5,3,3,2,12,7
A,水戸,●,0,1,13,9,4,3,3,3,12,10
H,大分,●,0,1,13,10,3,3,3,4,12,11
A,岐阜,○,1,0,14,10,4,4,3,4,15,9
H,新潟,●,2,3,16,13,3,4,3,5,15,13
A,東京Ｖ,○,1,0,17,13,4,5,3,5,18,8
A,松本,●,0,5,17,18,-1,5,3,6,18,15
H,徳島,△,0,0,17,18,-1,5,4,6,19,14
A,山形,●,1,2,18,20,-2,5,4,7,19,18
H,京都,●,1,3,19,23,-4,5,4,8,19,18
H,栃木,○,2,0,21,23,-2,6,4,8,22,15
H,熊本,△,0,0,21,23,-2,6,5,8,23,16
A,岡山,△,3,3,24,26,-2,6,6,8,24,17
A,甲府/18節,○,3,1,27,27,0,7,6,8,27,14
H,山口,△,2,2,29,29,0,7,7,8,28,13
A,千葉,○,4,3,33,32,1,8,7,8,31,13
A,町田,●,0,1,33,33,0,8,7,9,31,14
H,横浜FC,△,0,0,33,33,0,8,8,9,32,15
A,栃木,△,1,1,34,34,0,8,9,9,33,15
A,熊本,○,1,0,35,34,1,9,9,9,36,13
H,甲府,●,1,2,36,36,0,9,9,10,36,14
H,岡山,●,0,1,36,37,-1,9,9,11,36,15
A,讃岐,○,2,0,38,37,1,10,9,11,39,14
H,東京Ｖ,●,0,1,38,38,0,10,9,12,39,14
A,京都,△,0,0,38,38,0,10,10,12,40,15
A,新潟,●,1,2,39,40,-1,10,10,13,40,15
H,山形,○,1,0,40,40,0,11,10,13,43,15
H,岐阜,○,2,0,42,40,2,12,10,13,46,13
A,徳島,○,3,0,45,40,5,13,10,13,49,11
H,松本,●,0,2,45,42,3,13,10,14,49,12
H,愛媛,△,0,0,45,42,3,13,11,14,50,13
A,福岡,△,2,2,47,44,3,13,12,14,51,15
H,大宮,△,1,1,48,45,3,13,13,14,52,14
A,大分,●,1,2,49,47,2,13,13,15,52,16
H,水戸,○,3,1,52,48,4,14,13,15,55,13
