H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,長崎,△,1,1,1,1,0,1,11
H,北九州,△,0,0,1,1,0,2,14
A,東京Ｖ,△,1,1,2,2,0,3,14
H,水戸,△,1,1,3,3,0,4,15
A,横浜FC,○,1,0,4,3,1,7,9
A,愛媛,○,1,0,5,3,2,10,4
H,札幌,○,3,2,8,5,3,13,2
A,千葉,△,0,0,8,5,3,14,3
H,京都,△,1,1,9,6,3,15,4
H,群馬,○,2,0,11,6,5,18,3
A,神戸,△,3,3,14,9,5,19,5
A,栃木,●,0,1,14,10,4,19,7
H,山形,○,4,3,18,13,5,22,5
A,鳥取,△,0,0,18,13,5,23,6
H,徳島,○,2,0,20,13,7,26,5
H,熊本,●,2,3,22,16,6,26,7
A,岐阜,△,0,0,22,16,6,27,7
A,松本,●,0,1,22,17,5,27,8
H,福岡,△,1,1,23,18,5,28,7
A,Ｇ大阪,△,1,1,24,19,5,29,9
A,富山,△,0,0,24,19,5,30,9
H,神戸,○,1,0,25,19,6,33,9
H,横浜FC,△,0,0,25,19,6,34,7
A,水戸,●,0,1,25,20,5,34,9
A,山形,○,2,1,27,21,6,37,8
H,岐阜,●,1,2,28,23,5,37,9
H,Ｇ大阪,●,2,3,30,26,4,37,10
A,熊本,△,1,1,31,27,4,38,11
H,東京Ｖ,○,2,0,33,27,6,41,10
A,京都,○,4,2,37,29,8,44,7
H,栃木,●,1,3,38,32,6,44,9
A,札幌,△,2,2,40,34,6,45,10
H,松本,○,2,1,42,35,7,48,9
A,北九州,●,1,2,43,37,6,48,10
H,千葉,○,3,0,46,37,9,51,7
A,長崎,△,1,1,47,38,9,52,8
H,愛媛,△,1,1,48,39,9,53,9
A,群馬,●,1,2,49,41,8,53,12
H,鳥取,○,2,0,51,41,10,56,9
A,徳島,●,0,2,51,43,8,56,11
H,富山,●,1,3,52,46,6,56,11
A,福岡,●,0,2,52,48,4,56,12
