H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,札幌,●,0,1,0,1,-1,0,17
A,熊本,○,3,0,3,1,2,3,9
A,栃木,△,0,0,3,1,2,4,8
H,鳥取,△,1,1,4,2,2,5,10
A,Ｇ大阪,△,1,1,5,3,2,6,11
H,北九州,○,6,1,11,4,7,9,7
A,群馬,○,2,0,13,4,9,12,3
H,岡山,△,0,0,13,4,9,13,5
A,水戸,●,0,2,13,6,7,13,10
H,福岡,△,1,1,14,7,7,14,10
A,京都,△,3,3,17,10,7,15,9
H,愛媛,○,2,0,19,10,9,18,8
A,岐阜,○,1,0,20,10,10,21,6
H,富山,○,3,2,23,12,11,24,4
H,松本,○,1,0,24,12,12,27,3
A,長崎,●,1,2,25,14,11,27,6
H,山形,●,1,3,26,17,9,27,6
A,神戸,△,2,2,28,19,9,28,6
H,横浜FC,△,1,1,29,20,9,29,6
A,徳島,○,2,1,31,21,10,32,6
H,東京Ｖ,○,2,1,33,22,11,35,5
A,富山,○,2,1,35,23,12,38,5
H,Ｇ大阪,○,3,0,38,23,15,41,5
A,山形,○,3,0,41,23,18,44,4
A,愛媛,○,1,0,42,23,19,47,3
H,徳島,●,1,2,43,25,18,47,3
H,水戸,○,2,0,45,25,20,50,3
A,北九州,●,0,1,45,26,19,50,3
A,松本,●,2,3,47,29,18,50,3
H,群馬,△,2,2,49,31,18,51,3
H,岐阜,△,1,1,50,32,18,52,4
A,福岡,○,4,3,54,35,19,55,4
H,京都,●,1,2,55,37,18,55,5
A,東京Ｖ,●,0,1,55,38,17,55,6
A,岡山,●,0,3,55,41,14,55,6
H,神戸,○,2,1,57,42,15,58,5
H,熊本,○,6,0,63,42,21,61,4
A,横浜FC,○,2,1,65,43,22,64,4
A,札幌,●,0,1,65,44,21,64,4
H,長崎,●,0,2,65,46,19,64,5
H,栃木,△,1,1,66,47,19,65,5
A,鳥取,△,2,2,68,49,19,66,5
