H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,千葉,○,1,0,1,0,1,3,5
H,栃木,●,0,1,1,1,0,3,11
A,神戸,●,0,1,1,2,-1,3,17
H,松本,●,1,2,2,4,-2,3,21
A,福岡,○,1,0,3,4,-1,6,13
H,Ｇ大阪,●,1,3,4,7,-3,6,18
A,岡山,●,2,3,6,10,-4,6,19
H,徳島,○,2,1,8,11,-3,9,17
A,鳥取,○,2,0,10,11,-1,12,14
A,長崎,△,0,0,10,11,-1,13,15
H,熊本,●,1,3,11,14,-3,13,15
H,京都,●,0,1,11,15,-4,13,18
A,北九州,○,2,1,13,16,-3,16,15
A,山形,○,1,0,14,16,-2,19,12
H,東京Ｖ,△,1,1,15,17,-2,20,13
H,水戸,●,0,1,15,18,-3,20,15
A,横浜FC,○,2,0,17,18,-1,23,13
A,愛媛,●,2,3,19,21,-2,23,13
H,富山,○,1,0,20,21,-1,26,12
H,岐阜,○,4,0,24,21,3,29,10
A,群馬,●,0,2,24,23,1,29,10
A,徳島,●,0,1,24,24,0,29,10
H,福岡,○,3,0,27,24,3,32,10
A,東京Ｖ,●,1,2,28,26,2,32,13
A,松本,○,4,2,32,28,4,35,9
H,鳥取,○,3,0,35,28,7,38,8
A,富山,●,1,3,36,31,5,38,9
H,横浜FC,○,2,0,38,31,7,41,8
A,Ｇ大阪,●,0,3,38,34,4,41,11
H,愛媛,○,3,0,41,34,7,44,8
A,水戸,○,3,1,44,35,9,47,7
H,岡山,△,2,2,46,37,9,48,8
A,栃木,●,3,4,49,41,8,48,8
H,長崎,○,1,0,50,41,9,51,7
A,熊本,●,1,2,51,43,8,51,8
H,群馬,●,1,3,52,46,6,51,10
H,山形,○,3,1,55,47,8,54,7
A,京都,●,0,2,55,49,6,54,10
H,千葉,○,1,0,56,49,7,57,8
H,神戸,○,1,0,57,49,8,60,7
A,岐阜,○,3,0,60,49,11,63,7
H,北九州,△,0,0,60,49,11,64,8
