H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,山形,○,3,1,3,1,2,1,0,0,3,1
H,松本,△,1,1,4,2,2,1,1,0,4,4
A,富山,●,0,1,4,3,1,1,1,1,4,9
H,岐阜,△,0,0,4,3,1,1,2,1,5,11
A,水戸,○,1,0,5,3,2,2,2,1,8,6
H,岡山,●,0,1,5,4,1,2,2,2,8,11
A,北九州,●,0,1,5,5,0,2,2,3,8,14
H,群馬,○,2,0,7,5,2,3,2,3,11,10
A,熊本,○,1,0,8,5,3,4,2,3,14,7
A,徳島,●,2,3,10,8,2,4,2,4,14,12
H,長崎,●,0,2,10,10,0,4,2,5,14,14
A,千葉,●,0,2,10,12,-2,4,2,6,14,15
H,栃木,○,3,0,13,12,1,5,2,6,17,13
A,横浜FC,△,0,0,13,12,1,5,3,6,18,14
H,神戸,●,2,4,15,16,-1,5,3,7,18,15
H,Ｇ大阪,●,1,2,16,18,-2,5,3,8,18,16
A,東京Ｖ,●,1,2,17,20,-3,5,3,9,18,18
H,札幌,○,3,2,20,22,-2,6,3,9,21,15
A,京都,●,1,4,21,26,-5,6,3,10,21,15
A,福岡,●,0,2,21,28,-7,6,3,11,21,16
H,鳥取,○,1,0,22,28,-6,7,3,11,24,16
H,熊本,△,1,1,23,29,-6,7,4,11,25,16
A,神戸,●,0,2,23,31,-8,7,4,12,25,16
H,徳島,●,0,2,23,33,-10,7,4,13,25,16
H,千葉,●,0,1,23,34,-11,7,4,14,25,17
A,長崎,△,1,1,24,35,-11,7,5,14,26,18
H,京都,○,2,0,26,35,-9,8,5,14,29,17
H,北九州,○,3,0,29,35,-6,9,5,14,32,16
A,札幌,●,0,3,29,38,-9,9,5,15,32,16
A,群馬,●,1,2,30,40,-10,9,5,16,32,16
H,富山,△,0,0,30,40,-10,9,6,16,33,16
A,栃木/26節,○,1,0,31,40,-9,10,6,16,36,16
A,鳥取,△,1,1,32,41,-9,10,7,16,37,16
H,横浜FC,●,0,1,32,42,-10,10,7,17,37,17
A,Ｇ大阪,○,1,0,33,42,-9,11,7,17,40,17
H,東京Ｖ,○,4,0,37,42,-5,12,7,17,43,16
A,岡山,△,1,1,38,43,-5,12,8,17,44,16
A,山形,●,0,3,38,46,-8,12,8,18,44,16
H,水戸,△,2,2,40,48,-8,12,9,18,45,16
A,岐阜,△,1,1,41,49,-8,12,10,18,46,16
H,福岡,△,2,2,43,51,-8,12,11,18,47,17
A,松本,●,0,1,43,52,-9,12,11,19,47,17
