H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,讃岐,○,2,1,2,1,1,3,3
A,岡山,△,1,1,3,2,1,4,4
H,山形,△,1,1,4,3,1,5,8
A,福岡,●,1,2,5,5,0,5,12
H,大分,●,0,1,5,6,-1,5,15
A,名古屋,●,1,5,6,11,-5,5,20
A,愛媛,●,0,1,6,12,-6,5,20
H,松本,○,2,0,8,12,-4,8,17
A,金沢,○,2,0,10,12,-2,11,17
H,横浜FC,●,1,4,11,16,-5,11,18
A,町田,●,1,2,12,18,-6,11,18
H,群馬,●,1,2,13,20,-7,11,18
H,湘南,●,0,1,13,21,-8,11,19
A,岐阜,○,2,1,15,22,-7,14,18
A,千葉,△,1,1,16,23,-7,15,18
H,水戸,●,2,3,18,26,-8,15,18
H,京都,●,0,3,18,29,-11,15,19
A,長崎,●,0,1,18,30,-12,15,19
A,徳島,●,0,3,18,33,-15,15,19
H,山口,●,0,2,18,35,-17,15,19
H,東京Ｖ,○,4,0,22,35,-13,18,19
A,水戸,△,2,2,24,37,-13,19,19
H,千葉,○,1,0,25,37,-12,22,19
A,群馬,△,1,1,26,38,-12,23,19
H,名古屋,●,0,1,26,39,-13,23,19
A,山口,○,2,1,28,40,-12,26,19
A,東京Ｖ,●,0,1,28,41,-13,26,19
H,岐阜,△,0,0,28,41,-13,27,19
A,湘南,△,0,0,28,41,-13,28,19
H,岡山,●,0,1,28,42,-14,28,20
H,町田,●,0,1,28,43,-15,28,20
A,讃岐,△,0,0,28,43,-15,29,20
H,福岡,△,1,1,29,44,-15,30,20
A,山形,○,1,0,30,44,-14,33,20
H,愛媛,○,2,1,32,45,-13,36,18
A,松本,●,0,1,32,46,-14,36,19
H,愛媛,●,1,2,33,48,-15,36,19
H,徳島,△,1,1,34,49,-15,37,19
H,長崎,●,0,2,34,51,-17,37,20
A,横浜FC,●,0,2,34,53,-19,37,20
H,金沢,●,1,4,35,57,-22,37,21
A,大分,●,1,2,36,59,-23,37,21
