H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,松本,○,1,0,1,0,1,3,6
A,長崎,△,1,1,2,1,1,4,6
H,群馬,○,1,0,3,1,2,7,3
A,岐阜,○,2,1,5,2,3,10,2
H,徳島,●,0,2,5,4,1,10,7
A,福岡,△,0,0,5,4,1,11,7
H,京都,○,2,0,7,4,3,14,4
A,町田,●,0,1,7,5,2,14,5
H,千葉,○,4,0,11,5,6,17,2
A,熊本,○,4,1,15,6,9,20,1
H,愛媛,○,4,0,19,6,13,23,1
A,東京Ｖ,△,1,1,20,7,13,24,1
A,水戸,△,0,0,20,7,13,25,2
H,讃岐,○,2,1,22,8,14,28,1
A,岡山,●,1,2,23,10,13,28,3
H,名古屋,●,1,2,24,12,12,28,4
H,山口,○,1,0,25,12,13,31,2
A,大分,△,2,2,27,14,13,32,3
H,山形,●,0,1,27,15,12,32,3
H,湘南,●,0,1,27,16,11,32,7
A,金沢,●,2,3,29,19,10,32,8
A,松本,●,1,3,30,22,8,32,11
H,岐阜,○,1,0,31,22,9,35,6
H,長崎,○,2,1,33,23,10,38,5
A,山口,○,2,1,35,24,11,41,4
H,大分,●,1,2,36,26,10,41,6
A,徳島,△,2,2,38,28,10,42,6
A,讃岐,●,0,1,38,29,9,42,9
H,水戸,○,1,0,39,29,10,45,7
A,名古屋,○,3,2,42,31,11,48,7
A,湘南,△,2,2,44,33,11,49,8
H,金沢,○,2,0,46,33,13,52,6
H,東京Ｖ,△,1,1,47,34,13,53,5
A,愛媛,○,3,2,50,36,14,56,4
A,群馬,△,1,1,51,37,14,57,6
H,福岡,●,1,3,52,40,12,57,8
A,群馬,●,0,2,52,42,10,57,8
H,町田,△,2,2,54,44,10,58,9
A,京都,△,2,2,56,46,10,59,9
H,熊本,○,2,0,58,46,12,62,8
H,岡山,△,1,1,59,47,12,63,9
A,千葉,●,1,2,60,49,11,63,10
