H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,山口,△,2,2,2,2,0,0,1,0,1,11
A,名古屋,△,1,1,3,3,0,0,2,0,2,15
H,松本,●,0,1,3,4,-1,0,2,1,2,17
H,横浜FC,●,1,2,4,6,-2,0,2,2,2,19
A,東京Ｖ,●,0,1,4,7,-3,0,2,3,2,20
A,町田,○,1,0,5,7,-2,1,2,3,5,17
H,水戸,○,2,1,7,8,-1,2,2,3,8,14
A,湘南,△,3,3,10,11,-1,2,3,3,9,14
A,讃岐,○,3,1,13,12,1,3,3,3,12,11
H,金沢,○,1,0,14,12,2,4,3,3,15,10
A,群馬,○,2,0,16,12,4,5,3,3,18,8
H,大分,●,1,2,17,14,3,5,3,4,18,10
A,徳島,△,1,1,18,15,3,5,4,4,19,11
H,熊本,●,1,2,19,17,2,5,4,5,19,11
H,長崎,△,4,4,23,21,2,5,5,5,20,11
A,京都,△,1,1,24,22,2,5,6,5,21,14
H,山形,△,1,1,25,23,2,5,7,5,22,15
A,愛媛,●,0,2,25,25,0,5,7,6,22,16
A,岡山,△,1,1,26,26,0,5,8,6,23,16
H,千葉,●,4,6,30,32,-2,5,8,7,23,16
A,福岡,●,0,1,30,33,-3,5,8,8,23,18
H,京都,○,3,2,33,35,-2,6,8,8,26,18
A,横浜FC,●,0,1,33,36,-3,6,8,9,26,18
H,町田,●,0,2,33,38,-5,6,8,10,26,18
H,群馬,○,2,0,35,38,-3,7,8,10,29,17
A,長崎,●,1,2,36,40,-4,7,8,11,29,17
H,岡山,△,1,1,37,41,-4,7,9,11,30,17
A,熊本,△,0,0,37,41,-4,7,10,11,31,17
H,讃岐,●,0,1,37,42,-5,7,10,12,31,17
A,千葉,○,3,1,40,43,-3,8,10,12,34,17
H,愛媛,○,2,1,42,44,-2,9,10,12,37,17
A,水戸,○,2,1,44,45,-1,10,10,12,40,16
A,山口,○,1,0,45,45,0,11,10,12,43,15
H,福岡,●,1,2,46,47,-1,11,10,13,43,15
H,名古屋,●,2,6,48,53,-5,11,10,14,43,15
A,大分,△,3,3,51,56,-5,11,11,14,44,16
H,名古屋,●,0,2,51,58,-7,11,11,15,44,17
H,東京Ｖ,●,1,2,52,60,-8,11,11,16,44,17
A,松本,●,1,2,53,62,-9,11,11,17,44,17
A,金沢,△,1,1,54,63,-9,11,12,17,45,17
H,湘南,△,1,1,55,64,-9,11,13,17,46,17
A,山形,●,1,4,56,68,-12,11,13,18,46,18
