H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,水戸,○,1,0,1,0,1,3,6
H,群馬,○,3,1,4,1,3,6,1
A,金沢,△,0,0,4,1,3,7,1
A,愛媛,○,1,0,5,1,4,10,1
H,千葉,○,2,0,7,1,6,13,1
A,讃岐,●,0,3,7,4,3,13,4
A,東京Ｖ,○,3,2,10,6,4,16,2
H,岐阜,△,3,3,13,9,4,17,2
H,大分,●,0,1,13,10,3,17,5
A,岡山,○,2,0,15,10,5,20,3
H,山口,○,1,0,16,10,6,23,2
A,町田,△,0,0,16,10,6,24,2
A,熊本,○,1,0,17,10,7,27,1
H,福岡,●,0,3,17,13,4,27,3
A,松本,○,2,1,19,14,5,30,2
H,山形,●,0,1,19,15,4,30,3
H,長崎,△,1,1,20,16,4,31,4
A,徳島,○,1,0,21,16,5,34,2
H,京都,○,1,0,22,16,6,37,2
A,横浜FC,○,1,0,23,16,7,40,2
H,名古屋,○,2,1,25,17,8,43,2
A,大分,△,0,0,25,17,8,44,1
H,東京Ｖ,○,2,0,27,17,10,47,1
A,山形,●,0,3,27,20,7,47,1
H,徳島,○,2,0,29,20,9,50,1
H,松本,○,2,1,31,21,10,53,1
A,長崎,○,2,0,33,21,12,56,1
A,千葉,○,1,0,34,21,13,59,1
H,熊本,△,0,0,34,21,13,60,1
A,群馬,○,2,0,36,21,15,63,1
H,横浜FC,△,2,2,38,23,15,64,1
A,山口,○,5,3,43,26,17,67,1
H,讃岐,○,1,0,44,26,18,70,1
A,京都,△,0,0,44,26,18,71,1
H,金沢,○,4,2,48,28,20,74,1
H,水戸,○,3,0,51,28,23,77,1
H,金沢,●,2,3,53,31,22,77,1
H,愛媛,○,1,0,54,31,23,80,1
H,岡山,△,1,1,55,32,23,81,1
A,福岡,●,1,2,56,34,22,81,1
A,岐阜,△,1,1,57,35,22,82,1
H,町田,△,1,1,58,36,22,83,1
