H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,金沢,○,1,0,1,0,1,1,0,0,3,6
H,松本,△,0,0,1,0,1,1,1,0,4,8
A,讃岐,△,2,2,3,2,1,1,2,0,5,10
H,湘南,●,0,1,3,3,0,1,2,1,5,14
A,水戸,●,0,1,3,4,-1,1,2,2,5,16
A,大分,△,1,1,4,5,-1,1,3,2,6,16
H,熊本,○,1,0,5,5,0,2,3,2,9,12
A,京都,●,2,3,7,8,-1,2,3,3,9,15
H,長崎,○,1,0,8,8,0,3,3,3,12,13
H,山形,○,2,0,10,8,2,4,3,3,15,11
A,横浜FC,●,0,4,10,12,-2,4,3,4,15,14
H,山口,○,2,1,12,13,-1,5,3,4,18,11
A,群馬,○,3,0,15,13,2,6,3,4,21,8
H,岡山,○,2,0,17,13,4,7,3,4,24,6
H,名古屋,●,1,2,18,15,3,7,3,5,24,8
A,千葉,●,2,4,20,19,1,7,3,6,24,10
A,町田,○,2,1,22,20,2,8,3,6,27,8
H,岐阜,○,2,0,24,20,4,9,3,6,30,7
A,東京Ｖ,△,3,3,27,23,4,9,4,6,31,9
H,福岡,●,0,1,27,24,3,9,4,7,31,11
A,徳島,●,1,4,28,28,0,9,4,8,31,11
A,長崎,●,0,2,28,30,-2,9,4,9,31,13
H,大分,△,2,2,30,32,-2,9,5,9,32,14
A,松本,●,1,2,31,34,-3,9,5,10,32,16
H,千葉,○,1,0,32,34,-2,10,5,10,35,15
A,名古屋,●,4,7,36,41,-5,10,5,11,35,16
H,水戸,△,0,0,36,41,-5,10,6,11,36,16
A,岡山,○,1,0,37,41,-4,11,6,11,39,14
H,町田,△,1,1,38,42,-4,11,7,11,40,14
H,東京Ｖ,●,0,3,38,45,-7,11,7,12,40,14
A,岐阜,●,1,2,39,47,-8,11,7,13,40,15
A,福岡,○,1,0,40,47,-7,12,7,13,43,15
H,横浜FC,●,2,3,42,50,-8,12,7,14,43,16
A,熊本,●,1,2,43,52,-9,12,7,15,43,16
A,金沢,●,1,4,44,56,-12,12,7,16,43,17
A,熊本,●,1,2,45,58,-13,12,7,17,43,16
A,金沢,●,0,1,45,59,-14,12,7,18,46,16
A,山形,△,2,2,47,61,-14,12,8,18,47,16
H,徳島,●,1,3,48,64,-16,12,8,19,47,16
H,京都/33節,●,0,2,48,66,-18,12,8,20,47,16
H,群馬,○,4,2,52,68,-16,13,8,20,50,15
A,山口,△,1,1,53,69,-16,13,9,20,51,15
