H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,徳島,●,0,1,0,1,-1,0,16
H,大分,○,1,0,1,1,0,3,13
H,水戸,○,4,0,5,1,4,6,4
A,山口,○,2,0,7,1,6,9,3
H,岐阜,○,1,0,8,1,7,12,2
A,岡山,○,1,0,9,1,8,15,1
H,湘南,●,2,3,11,4,7,15,3
A,山形,●,0,1,11,5,6,15,3
H,群馬,○,3,1,14,6,8,18,1
A,福岡,●,0,1,14,7,7,18,4
H,金沢,○,2,1,16,8,8,21,4
H,横浜FC,△,1,1,17,9,8,22,4
A,讃岐,△,0,0,17,9,8,23,4
H,千葉,○,3,0,20,9,11,26,4
H,京都,●,1,2,21,11,10,26,5
A,長崎,●,0,1,21,12,9,26,6
A,松本,△,1,1,22,13,9,27,6
H,名古屋,○,2,1,24,14,10,30,6
H,愛媛,△,3,3,27,17,10,31,6
A,町田,○,4,2,31,19,12,34,3
A,熊本,●,0,4,31,23,8,34,5
H,岡山,△,1,1,32,24,8,35,5
A,湘南,●,0,2,32,26,6,35,7
H,讃岐,△,3,3,35,29,6,36,9
A,水戸,●,2,3,37,32,5,36,11
A,金沢,△,0,0,37,32,5,37,13
H,熊本,○,1,0,38,32,6,40,11
A,大分,○,2,0,40,32,8,43,6
H,長崎,○,2,1,42,33,9,46,6
A,愛媛,○,3,0,45,33,12,49,6
A,千葉,△,2,2,47,35,12,50,6
H,松本,●,1,2,48,37,11,50,9
A,横浜FC,△,1,1,49,38,11,51,8
A,名古屋,●,1,4,50,42,8,51,9
H,町田,○,3,1,53,43,10,54,9
H,山形,○,3,1,56,44,12,57,7
H,町田,○,2,1,58,45,13,60,7
A,岐阜,○,2,1,60,46,14,63,5
H,福岡,△,0,0,60,46,14,64,6
H,山口,●,1,2,61,48,13,64,7
A,京都,○,1,0,62,48,14,67,6
H,徳島,○,2,1,64,49,15,70,5
