H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,群馬,○,2,0,2,0,2,3,4
H,湘南,●,0,3,2,3,-1,3,12
A,松本,△,0,0,2,3,-1,4,13
H,千葉,○,2,1,4,4,0,7,9
A,東京Ｖ,○,5,1,9,5,4,10,4
H,北九州,△,1,1,10,6,4,11,4
A,福岡,○,5,2,15,8,7,14,2
H,愛媛,○,2,1,17,9,8,17,2
A,熊本,△,1,1,18,10,8,18,2
H,大分,△,0,0,18,10,8,19,3
A,磐田,●,0,1,18,11,7,19,5
H,水戸,△,1,1,19,12,7,20,5
A,京都,●,0,2,19,14,5,20,6
H,栃木,△,1,1,20,15,5,21,9
A,岡山,●,1,2,21,17,4,21,10
H,讃岐,△,1,1,22,18,4,22,10
A,横浜FC,○,2,1,24,19,5,25,8
H,山形,△,0,0,24,19,5,26,9
A,岐阜,△,1,1,25,20,5,27,11
A,富山,●,0,1,25,21,4,27,11
H,札幌,●,0,1,25,22,3,27,13
H,松本,●,0,2,25,24,1,27,15
A,千葉,△,1,1,26,25,1,28,14
A,水戸,△,0,0,26,25,1,29,15
H,岐阜,●,0,2,26,27,-1,29,18
A,群馬,○,4,2,30,29,1,32,15
H,福岡,△,0,0,30,29,1,33,15
A,北九州,●,1,2,31,31,0,33,15
H,富山,○,2,0,33,31,2,36,14
A,札幌,●,1,2,34,33,1,36,15
H,磐田,△,1,1,35,34,1,37,15
H,横浜FC,○,1,0,36,34,2,40,14
A,讃岐,○,1,0,37,34,3,43,13
A,大分,△,1,1,38,35,3,44,13
H,岡山,△,1,1,39,36,3,45,12
A,山形,●,1,2,40,38,2,45,12
A,湘南,○,2,1,42,39,3,48,12
H,熊本,●,0,1,42,40,2,48,13
A,愛媛,○,3,0,45,40,5,51,12
H,東京Ｖ,△,0,0,45,40,5,52,11
H,京都,●,0,1,45,41,4,52,11
A,栃木,●,0,1,45,42,3,52,14
