H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,長崎,●,0,2,0,2,-2,0,21
H,東京Ｖ,○,1,0,1,2,-1,3,13
A,岡山,○,2,1,3,3,0,6,7
A,栃木,●,0,3,3,6,-3,6,12
H,富山,○,2,0,5,6,-1,9,5
A,磐田,●,0,2,5,8,-3,9,10
H,水戸,●,0,1,5,9,-4,9,17
A,札幌,●,0,1,5,10,-5,9,18
H,福岡,●,1,2,6,12,-6,9,19
A,岐阜,●,0,1,6,13,-7,9,19
A,千葉,●,2,3,8,16,-8,9,19
H,山形,△,1,1,9,17,-8,10,19
H,讃岐,○,1,0,10,17,-7,13,18
A,北九州,●,1,2,11,19,-8,13,19
A,京都,○,3,0,14,19,-5,16,18
H,横浜FC,●,0,2,14,21,-7,16,19
A,愛媛,○,2,0,16,21,-5,19,18
H,熊本,△,1,1,17,22,-5,20,17
A,松本,●,1,3,18,25,-7,20,18
H,大分,○,2,1,20,26,-6,23,17
H,湘南,●,0,1,20,27,-7,23,18
A,水戸,●,0,2,20,29,-9,23,19
A,山形,○,2,1,22,30,-8,26,19
H,北九州,△,0,0,22,30,-8,27,18
A,熊本,○,1,0,23,30,-7,30,17
H,長崎,●,2,4,25,34,-9,30,18
H,岐阜,△,2,2,27,36,-9,31,18
A,大分,●,1,2,28,38,-10,31,19
H,松本,●,1,3,29,41,-12,31,19
A,横浜FC,●,0,1,29,42,-13,31,19
H,京都,●,0,1,29,43,-14,31,19
H,札幌,○,3,0,32,43,-11,34,19
A,富山,○,1,0,33,43,-10,37,19
H,栃木,○,2,0,35,43,-8,40,18
A,讃岐,●,0,1,35,44,-9,40,18
H,岡山,○,3,2,38,46,-8,43,16
A,福岡,△,1,1,39,47,-8,44,18
H,千葉,●,1,2,40,49,-9,44,19
A,湘南,●,0,1,40,50,-10,44,19
H,磐田,△,1,1,41,51,-10,45,19
A,東京Ｖ,△,1,1,42,52,-10,46,19
H,愛媛,○,3,2,45,54,-9,49,18
