H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,長崎,●,0,2,0,2,-2,0,0,1,0,21
H,東京Ｖ,○,1,0,1,2,-1,1,0,1,3,13
A,岡山,○,2,1,3,3,0,2,0,1,6,7
A,栃木,●,0,3,3,6,-3,2,0,2,6,12
H,富山,○,2,0,5,6,-1,3,0,2,9,5
A,磐田,●,0,2,5,8,-3,3,0,3,9,10
H,水戸,●,0,1,5,9,-4,3,0,4,9,17
A,札幌,●,0,1,5,10,-5,3,0,5,9,18
H,福岡,●,1,2,6,12,-6,3,0,6,9,19
A,岐阜,●,0,1,6,13,-7,3,0,7,9,19
A,千葉,●,2,3,8,16,-8,3,0,8,9,19
H,山形,△,1,1,9,17,-8,3,1,8,10,19
H,讃岐,○,1,0,10,17,-7,4,1,8,13,18
A,北九州,●,1,2,11,19,-8,4,1,9,13,19
A,京都,○,3,0,14,19,-5,5,1,9,16,18
H,横浜FC,●,0,2,14,21,-7,5,1,10,16,19
A,愛媛,○,2,0,16,21,-5,6,1,10,19,18
H,熊本,△,1,1,17,22,-5,6,2,10,20,17
A,松本,●,1,3,18,25,-7,6,2,11,20,18
H,大分,○,2,1,20,26,-6,7,2,11,23,17
H,湘南,●,0,1,20,27,-7,7,2,12,23,18
A,水戸,●,0,2,20,29,-9,7,2,13,23,19
A,山形,○,2,1,22,30,-8,8,2,13,26,19
H,北九州,△,0,0,22,30,-8,8,3,13,27,18
A,熊本,○,1,0,23,30,-7,9,3,13,30,17
H,長崎,●,2,4,25,34,-9,9,3,14,30,18
H,岐阜,△,2,2,27,36,-9,9,4,14,31,18
A,大分,●,1,2,28,38,-10,9,4,15,31,19
H,松本,●,1,3,29,41,-12,9,4,16,31,19
A,横浜FC,●,0,1,29,42,-13,9,4,17,31,19
H,京都,●,0,1,29,43,-14,9,4,18,31,19
H,札幌,○,3,0,32,43,-11,10,4,18,34,19
A,富山,○,1,0,33,43,-10,11,4,18,37,19
H,栃木,○,2,0,35,43,-8,12,4,18,40,18
A,讃岐,●,0,1,35,44,-9,12,4,19,40,18
H,岡山,○,3,2,38,46,-8,13,4,19,43,16
A,福岡,△,1,1,39,47,-8,13,5,19,44,18
H,千葉,●,1,2,40,49,-9,13,5,20,44,19
A,湘南,●,0,1,40,50,-10,13,5,21,44,19
H,磐田,△,1,1,41,51,-10,13,6,21,45,19
A,東京Ｖ,△,1,1,42,52,-10,13,7,21,46,19
H,愛媛,○,3,2,45,54,-9,14,7,21,49,18
