H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,愛媛,△,0,0,0,0,0,0,1,0,1,10
A,栃木,△,1,1,1,1,0,0,2,0,2,15
A,富山,○,2,1,3,2,1,1,2,0,5,9
H,山形,○,2,1,5,3,2,2,2,0,8,4
A,福岡,●,0,1,5,4,1,2,2,1,8,10
H,熊本,●,0,1,5,5,0,2,2,2,8,12
H,岐阜,●,0,1,5,6,-1,2,2,3,8,18
A,磐田,△,2,2,7,8,-1,2,3,3,9,17
H,湘南,●,1,3,8,11,-3,2,3,4,9,18
A,讃岐,○,1,0,9,11,-2,3,3,4,12,16
A,北九州,●,1,2,10,13,-3,3,3,5,12,17
H,京都,●,0,2,10,15,-5,3,3,6,12,17
A,松本,●,0,2,10,17,-7,3,3,7,12,20
A,大分,●,0,1,10,18,-8,3,3,8,12,20
H,千葉,△,0,0,10,18,-8,3,4,8,13,20
A,群馬,○,2,0,12,18,-6,4,4,8,16,18
H,長崎,●,1,2,13,20,-7,4,4,9,16,19
H,札幌,△,2,2,15,22,-7,4,5,9,17,19
A,岡山,△,0,0,15,22,-7,4,6,9,18,19
H,東京Ｖ,△,0,0,15,22,-7,4,7,9,19,19
H,水戸,△,1,1,16,23,-7,4,8,9,20,19
A,岐阜,○,2,1,18,24,-6,5,8,9,23,18
H,磐田,○,4,0,22,24,-2,6,8,9,26,18
A,札幌,○,1,0,23,24,-1,7,8,9,29,16
H,富山,○,2,0,25,24,1,8,8,9,32,13
A,千葉,△,0,0,25,24,1,8,9,9,33,14
H,讃岐,○,4,2,29,26,3,9,9,9,36,11
A,東京Ｖ,△,1,1,30,27,3,9,10,9,37,11
H,福岡,○,2,0,32,27,5,10,10,9,40,10
H,群馬,○,1,0,33,27,6,11,10,9,43,9
A,熊本,△,2,2,35,29,6,11,11,9,44,8
A,長崎,●,0,1,35,30,5,11,11,10,44,10
H,大分,△,1,1,36,31,5,11,12,10,45,10
A,京都,●,1,2,37,33,4,11,12,11,45,12
H,松本,●,0,2,37,35,2,11,12,12,45,13
A,愛媛,●,1,2,38,37,1,11,12,13,45,13
H,栃木,○,3,0,41,37,4,12,12,13,48,11
A,山形,○,4,2,45,39,6,13,12,13,51,11
A,水戸,△,2,2,47,41,6,13,13,13,52,11
H,岡山,●,0,2,47,43,4,13,13,14,52,12
A,湘南,●,1,4,48,47,1,13,13,15,52,12
H,北九州,○,1,0,49,47,2,14,13,15,55,11
