H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,湘南,●,0,1,0,1,-1,0,0,1,0,16
A,札幌,△,1,1,1,2,-1,0,1,1,1,16
H,岐阜,○,3,1,4,3,1,1,1,1,4,10
A,横浜FC,●,1,2,5,5,0,1,1,2,4,15
H,水戸,△,0,0,5,5,0,1,2,2,5,17
H,愛媛,○,2,0,7,5,2,2,2,2,8,11
A,京都,△,2,2,9,7,2,2,3,2,9,15
H,熊本,●,1,2,10,9,1,2,3,3,9,15
A,北九州,○,1,0,11,9,2,3,3,3,12,13
H,岡山,●,0,2,11,11,0,3,3,4,12,15
H,富山,○,1,0,12,11,1,4,3,4,15,11
A,群馬,△,1,1,13,12,1,4,4,4,16,11
H,千葉,△,1,1,14,13,1,4,5,4,17,12
H,松本,△,0,0,14,13,1,4,6,4,18,13
A,福岡,○,1,0,15,13,2,5,6,4,21,11
A,大分,●,0,1,15,14,1,5,6,5,21,13
H,栃木,○,6,1,21,15,6,6,6,5,24,10
A,長崎,△,0,0,21,15,6,6,7,5,25,12
A,讃岐,○,3,0,24,15,9,7,7,5,28,10
H,磐田,●,0,1,24,16,8,7,7,6,28,10
A,東京Ｖ,○,2,1,26,17,9,8,7,6,31,8
H,北九州,●,1,2,27,19,8,8,7,7,31,9
H,群馬,●,1,2,28,21,7,8,7,8,31,12
A,千葉,●,0,2,28,23,5,8,7,9,31,12
H,大分,○,2,0,30,23,7,9,7,9,34,9
A,富山,△,1,1,31,24,7,9,8,9,35,10
H,札幌,○,2,1,33,25,8,10,8,9,38,9
A,松本,△,0,0,33,25,8,10,9,9,39,10
H,湘南,●,1,3,34,28,6,10,9,10,39,11
A,水戸,○,1,0,35,28,7,11,9,10,42,10
A,愛媛,●,0,4,35,32,3,11,9,11,42,11
H,京都,○,1,0,36,32,4,12,9,11,45,8
A,栃木,△,1,1,37,33,4,12,10,11,46,8
H,讃岐,○,4,0,41,33,8,13,10,11,49,7
A,岐阜,●,0,1,41,34,7,13,10,12,49,8
H,長崎,○,2,1,43,35,8,14,10,12,52,8
A,岡山,○,4,1,47,36,11,15,10,12,55,6
H,横浜FC,●,2,4,49,40,9,15,10,13,55,7
A,熊本,○,3,1,52,41,11,16,10,13,58,7
H,福岡,○,2,1,54,42,12,17,10,13,61,6
A,磐田,○,2,0,56,42,14,18,10,13,64,6
H,東京Ｖ,●,1,2,57,44,13,18,10,14,64,6
