H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,松本,●,1,3,1,3,-2,0,0,1,0,18
A,群馬,●,0,1,1,4,-3,0,0,2,0,20
H,千葉,△,1,1,2,5,-3,0,1,2,1,20
A,愛媛,●,1,2,3,7,-4,0,1,3,1,20
H,長崎,●,1,5,4,12,-8,0,1,4,1,21
A,富山,○,3,0,7,12,-5,1,1,4,4,20
H,岡山,●,0,1,7,13,-6,1,1,5,4,20
A,水戸,△,1,1,8,14,-6,1,2,5,5,20
H,磐田,●,0,1,8,15,-7,1,2,6,5,20
A,札幌,△,0,0,8,15,-7,1,3,6,6,20
H,岐阜,●,0,1,8,16,-8,1,3,7,6,20
A,讃岐,○,1,0,9,16,-7,2,3,7,9,20
H,北九州,○,1,0,10,16,-6,3,3,7,12,19
A,熊本,△,0,0,10,16,-6,3,4,7,13,18
H,大分,△,1,1,11,17,-6,3,5,7,14,19
A,湘南,●,0,1,11,18,-7,3,5,8,14,20
A,京都,●,0,1,11,19,-8,3,5,9,14,20
H,福岡,●,0,5,11,24,-13,3,5,10,14,20
H,栃木,△,1,1,12,25,-13,3,6,10,15,20
A,横浜FC,△,0,0,12,25,-13,3,7,10,16,20
H,山形,●,1,2,13,27,-14,3,7,11,16,20
A,磐田,○,2,1,15,28,-13,4,7,11,19,20
A,松本,△,1,1,16,29,-13,4,8,11,20,20
H,京都,○,1,0,17,29,-12,5,8,11,23,20
A,岡山,●,1,2,18,31,-13,5,8,12,23,20
A,大分,●,2,3,20,34,-14,5,8,13,23,20
H,水戸,○,1,0,21,34,-13,6,8,13,26,20
H,横浜FC,△,1,1,22,35,-13,6,9,13,27,20
A,岐阜,●,0,3,22,38,-16,6,9,14,27,20
H,讃岐,●,0,1,22,39,-17,6,9,15,27,20
A,栃木,●,2,3,24,42,-18,6,9,16,27,20
H,富山,●,0,1,24,43,-19,6,9,17,27,20
A,福岡,○,1,0,25,43,-18,7,9,17,30,20
A,千葉,△,0,0,25,43,-18,7,10,17,31,20
H,熊本,○,1,0,26,43,-17,8,10,17,34,20
H,湘南,△,0,0,26,43,-17,8,11,17,35,20
A,北九州,●,1,2,27,45,-18,8,11,18,35,20
H,愛媛,△,1,1,28,46,-18,8,12,18,36,20
H,札幌,△,0,0,28,46,-18,8,13,18,37,20
A,長崎,△,0,0,28,46,-18,8,14,18,38,20
H,群馬,△,1,1,29,47,-18,8,15,18,39,20
A,山形,○,2,1,31,48,-17,9,15,18,42,20
