H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,湘南,●,0,1,0,1,-1,0,16
A,札幌,△,1,1,1,2,-1,1,16
H,岐阜,○,3,1,4,3,1,4,10
A,横浜FC,●,1,2,5,5,0,4,15
H,水戸,△,0,0,5,5,0,5,17
H,愛媛,○,2,0,7,5,2,8,11
A,京都,△,2,2,9,7,2,9,15
H,熊本,●,1,2,10,9,1,9,15
A,北九州,○,1,0,11,9,2,12,13
H,岡山,●,0,2,11,11,0,12,15
H,富山,○,1,0,12,11,1,15,11
A,群馬,△,1,1,13,12,1,16,11
H,千葉,△,1,1,14,13,1,17,12
H,松本,△,0,0,14,13,1,18,13
A,福岡,○,1,0,15,13,2,21,11
A,大分,●,0,1,15,14,1,21,13
H,栃木,○,6,1,21,15,6,24,10
A,長崎,△,0,0,21,15,6,25,12
A,讃岐,○,3,0,24,15,9,28,10
H,磐田,●,0,1,24,16,8,28,10
A,東京Ｖ,○,2,1,26,17,9,31,8
H,北九州,●,1,2,27,19,8,31,9
H,群馬,●,1,2,28,21,7,31,12
A,千葉,●,0,2,28,23,5,31,12
H,大分,○,2,0,30,23,7,34,9
A,富山,△,1,1,31,24,7,35,10
H,札幌,○,2,1,33,25,8,38,9
A,松本,△,0,0,33,25,8,39,10
H,湘南,●,1,3,34,28,6,39,11
A,水戸,○,1,0,35,28,7,42,10
A,愛媛,●,0,4,35,32,3,42,11
H,京都,○,1,0,36,32,4,45,8
A,栃木,△,1,1,37,33,4,46,8
H,讃岐,○,4,0,41,33,8,49,7
A,岐阜,●,0,1,41,34,7,49,8
H,長崎,○,2,1,43,35,8,52,8
A,岡山,○,4,1,47,36,11,55,6
H,横浜FC,●,2,4,49,40,9,55,7
A,熊本,○,3,1,52,41,11,58,7
H,福岡,○,2,1,54,42,12,61,6
A,磐田,○,2,0,56,42,14,64,6
H,東京Ｖ,●,1,2,57,44,13,64,6
