H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,水戸,●,1,2,1,2,-1,0,0,1,0,14
H,北九州,○,1,0,2,2,0,1,0,1,3,9
H,讃岐,○,1,0,3,2,1,2,0,1,6,6
A,熊本,△,1,1,4,3,1,2,1,1,7,8
A,岡山,△,1,1,5,4,1,2,2,1,8,10
H,京都,●,0,3,5,7,-2,2,2,2,8,13
H,札幌,○,1,0,6,7,-1,3,2,2,11,9
A,湘南,●,0,4,6,11,-5,3,2,3,11,13
H,富山,○,3,0,9,11,-2,4,2,3,14,11
A,長崎,△,0,0,9,11,-2,4,3,3,15,11
A,福岡,○,2,1,11,12,-1,5,3,3,18,7
H,松本,●,0,2,11,14,-3,5,3,4,18,8
A,磐田,△,1,1,12,15,-3,5,4,4,19,11
H,横浜FC,○,1,0,13,15,-2,6,4,4,22,8
A,東京Ｖ,△,1,1,14,16,-2,6,5,4,23,7
H,山形,○,1,0,15,16,-1,7,5,4,26,6
H,岐阜,○,1,0,16,16,0,8,5,4,29,4
A,栃木,●,0,4,16,20,-4,8,5,5,29,6
H,愛媛,△,2,2,18,22,-4,8,6,5,30,6
A,群馬,●,1,2,19,24,-5,8,6,6,30,8
H,千葉,●,2,4,21,28,-7,8,6,7,30,12
A,札幌,△,1,1,22,29,-7,8,7,7,31,12
A,北九州,△,1,1,23,30,-7,8,8,7,32,11
H,栃木,○,2,1,25,31,-6,9,8,7,35,7
A,山形,●,0,2,25,33,-8,9,8,8,35,8
H,東京Ｖ,○,3,2,28,35,-7,10,8,8,38,8
A,京都,△,2,2,30,37,-7,10,9,8,39,8
H,群馬,○,2,1,32,38,-6,11,9,8,42,6
A,愛媛,○,2,1,34,39,-5,12,9,8,45,6
H,熊本,●,0,1,34,40,-6,12,9,9,45,6
A,富山,△,1,1,35,41,-6,12,10,9,46,6
H,福岡,○,3,0,38,41,-3,13,10,9,49,6
A,横浜FC,△,1,1,39,42,-3,13,11,9,50,6
H,長崎,△,1,1,40,43,-3,13,12,9,51,6
H,磐田,○,2,0,42,43,-1,14,12,9,54,6
A,松本,●,0,2,42,45,-3,14,12,10,54,7
A,千葉,●,1,2,43,47,-4,14,12,11,54,8
H,岡山,○,1,0,44,47,-3,15,12,11,57,6
A,岐阜,○,3,2,47,49,-2,16,12,11,60,6
H,水戸,●,2,3,49,52,-3,16,12,12,60,7
A,讃岐,○,1,0,50,52,-2,17,12,12,63,7
H,湘南,●,2,3,52,55,-3,17,12,13,63,7
