H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,京都,●,1,3,1,3,-2,0,19
A,愛媛,●,1,2,2,5,-3,0,21
A,札幌,●,1,2,3,7,-4,0,22
H,熊本,○,1,0,4,7,-3,3,19
A,横浜FC,△,2,2,6,9,-3,4,19
H,水戸,○,1,0,7,9,-2,7,12
A,大分,○,2,1,9,10,-1,10,10
A,北九州,○,1,0,10,10,0,13,7
H,岐阜,△,2,2,12,12,0,14,11
A,磐田,○,1,0,13,12,1,17,7
H,Ｃ大阪,○,1,0,14,12,2,20,5
H,群馬,○,4,1,18,13,5,23,5
A,栃木,△,0,0,18,13,5,24,5
H,岡山,○,1,0,19,13,6,27,5
H,讃岐,●,1,3,20,16,4,27,6
A,大宮,●,0,2,20,18,2,27,7
H,徳島,○,1,0,21,18,3,30,4
A,千葉,△,2,2,23,20,3,31,5
H,金沢,●,0,2,23,22,1,31,6
A,長崎,△,0,0,23,22,1,32,7
A,東京Ｖ,△,1,1,24,23,1,33,7
H,北九州,○,4,2,28,25,3,36,5
A,水戸,△,2,2,30,27,3,37,6
H,大宮,●,1,3,31,30,1,37,7
A,京都,○,2,1,33,31,2,40,6
H,長崎,△,0,0,33,31,2,41,6
H,大分,△,1,1,34,32,2,42,6
A,金沢,○,1,0,35,32,3,45,5
H,磐田,○,2,0,37,32,5,48,5
A,岡山,●,0,1,37,33,4,48,5
A,讃岐,○,1,0,38,33,5,51,5
H,札幌,○,2,1,40,34,6,54,4
A,熊本,○,1,0,41,34,7,57,4
H,東京Ｖ,△,0,0,41,34,7,58,4
A,Ｃ大阪,○,1,0,42,34,8,61,3
H,千葉,○,1,0,43,34,9,64,3
H,栃木,○,4,2,47,36,11,67,3
A,徳島,○,3,0,50,36,14,70,3
H,横浜FC,○,4,0,54,36,18,73,3
A,群馬,○,4,0,58,36,22,76,3
H,愛媛,○,1,0,59,36,23,79,3
A,岐阜,○,4,1,63,37,26,82,3
