H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,大分,○,2,0,2,0,2,3,4
A,岐阜,●,0,1,2,1,1,3,8
H,磐田,○,1,0,3,1,2,6,5
A,京都,△,1,1,4,2,2,7,5
H,水戸,△,0,0,4,2,2,8,7
A,北九州,●,0,2,4,4,0,8,10
H,札幌,△,0,0,4,4,0,9,13
A,金沢,●,0,1,4,5,-1,9,13
H,Ｃ大阪,●,1,3,5,8,-3,9,14
A,群馬,●,0,1,5,9,-4,9,19
H,東京Ｖ,○,1,0,6,9,-3,12,15
A,横浜FC,○,2,1,8,10,-2,15,13
H,千葉,●,0,1,8,11,-3,15,13
H,栃木,△,0,0,8,11,-3,16,13
A,福岡,○,3,1,11,12,-1,19,13
H,岡山,●,0,1,11,13,-2,19,15
A,大宮,●,0,2,11,15,-4,19,16
A,徳島,△,2,2,13,17,-4,20,15
H,長崎,△,0,0,13,17,-4,21,15
A,熊本,○,1,0,14,17,-3,24,14
H,愛媛,△,0,0,14,17,-3,25,14
A,磐田,△,1,1,15,18,-3,26,14
H,金沢,△,2,2,17,20,-3,27,15
A,札幌,○,1,0,18,20,-2,30,15
A,栃木,●,0,1,18,21,-3,30,15
H,北九州,○,1,0,19,21,-2,33,12
A,東京Ｖ,●,0,2,19,23,-4,33,12
H,群馬,●,0,1,19,24,-5,33,16
A,水戸,○,1,0,20,24,-4,36,14
A,長崎,△,0,0,20,24,-4,37,14
H,福岡,●,0,1,20,25,-5,37,15
H,徳島,●,0,1,20,26,-6,37,17
A,愛媛,●,0,1,20,27,-7,37,17
H,京都,△,1,1,21,28,-7,38,17
A,大分,△,0,0,21,28,-7,39,17
H,横浜FC,△,1,1,22,29,-7,40,17
H,熊本,●,0,2,22,31,-9,40,19
A,Ｃ大阪,△,0,0,22,31,-9,41,20
A,岡山,○,2,1,24,32,-8,44,18
H,大宮,△,1,1,25,33,-8,45,17
H,岐阜,○,3,0,28,33,-5,48,16
A,千葉,○,2,0,30,33,-3,51,16
