H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,讃岐,●,0,2,0,2,-2,0,21
H,岡山,●,0,1,0,3,-3,0,22
A,群馬,△,1,1,1,4,-3,1,20
A,磐田,●,1,2,2,6,-4,1,22
H,岐阜,○,6,2,8,8,0,4,18
A,愛媛,●,0,2,8,10,-2,4,21
H,福岡,●,1,2,9,12,-3,4,21
H,大宮,●,0,3,9,15,-6,4,21
A,長崎,○,1,0,10,15,-5,7,20
H,栃木,●,0,1,10,16,-6,7,20
H,徳島,△,1,1,11,17,-6,8,20
A,熊本,△,0,0,11,17,-6,9,20
H,横浜FC,△,1,1,12,18,-6,10,22
A,水戸,△,1,1,13,19,-6,11,21
H,東京Ｖ,●,0,1,13,20,-7,11,22
A,北九州,●,1,2,14,22,-8,11,22
H,京都,△,2,2,16,24,-8,12,22
A,金沢,△,1,1,17,25,-8,13,22
H,千葉,●,0,1,17,26,-9,13,22
A,札幌,△,1,1,18,27,-9,14,22
A,Ｃ大阪,△,0,0,18,27,-9,15,22
H,水戸,△,1,1,19,28,-9,16,22
A,東京Ｖ,○,2,1,21,29,-8,19,21
H,長崎,○,2,1,23,30,-7,22,21
A,徳島,●,0,1,23,31,-8,22,22
H,群馬,○,2,0,25,31,-6,25,20
A,福岡,△,1,1,26,32,-6,26,21
H,愛媛,●,0,1,26,33,-7,26,21
A,京都,●,1,2,27,35,-8,26,21
H,Ｃ大阪,●,1,3,28,38,-10,26,21
H,熊本,●,0,1,28,39,-11,26,22
A,岐阜,○,3,0,31,39,-8,29,22
H,北九州,○,2,1,33,40,-7,32,21
A,岡山,●,0,1,33,41,-8,32,21
H,讃岐,△,0,0,33,41,-8,33,21
A,栃木,△,1,1,34,42,-8,34,21
A,千葉,△,2,2,36,44,-8,35,21
H,札幌,○,2,0,38,44,-6,38,21
H,金沢,●,0,1,38,45,-7,38,21
A,横浜FC,●,0,1,38,46,-8,38,21
A,大宮,●,2,3,40,49,-9,38,21
H,磐田,●,1,2,41,51,-10,38,21
