H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,北九州,○,3,1,3,1,2,3,2
A,京都,○,2,0,5,1,4,6,1
A,讃岐,●,0,1,5,2,3,6,4
H,大分,○,2,1,7,3,4,9,2
H,栃木,○,3,0,10,3,7,12,1
A,横浜FC,○,3,2,13,5,8,15,1
H,岡山,△,1,1,14,6,8,16,2
H,東京Ｖ,○,2,0,16,6,10,19,1
A,千葉,○,2,0,18,6,12,22,1
H,福岡,●,0,1,18,7,11,22,1
A,札幌,●,0,3,18,10,8,22,3
A,Ｃ大阪,○,2,1,20,11,9,25,2
H,水戸,○,2,1,22,12,10,28,1
A,大宮,△,1,1,23,13,10,29,1
H,群馬,●,1,2,24,15,9,29,3
A,徳島,△,2,2,26,17,9,30,3
H,金沢,○,2,1,28,18,10,33,2
A,長崎,○,1,0,29,18,11,36,2
H,岐阜,●,2,3,31,21,10,36,3
A,愛媛,○,2,0,33,21,12,39,2
H,熊本,△,1,1,34,22,12,40,2
H,讃岐,△,1,1,35,23,12,41,2
A,栃木,○,2,0,37,23,14,44,2
H,千葉,○,1,0,38,23,15,47,2
A,岐阜,●,0,2,38,25,13,47,2
H,Ｃ大阪,●,0,1,38,26,12,47,2
A,岡山,○,2,1,40,27,13,50,2
H,京都,△,3,3,43,30,13,51,2
A,福岡,●,0,2,43,32,11,51,2
H,徳島,○,3,1,46,33,13,54,2
A,金沢,○,3,0,49,33,16,57,2
H,愛媛,△,0,0,49,33,16,58,2
A,群馬,○,3,2,52,35,17,61,2
A,北九州,○,3,2,55,37,18,64,2
H,大宮,△,2,2,57,39,18,65,2
A,水戸,△,1,1,58,40,18,66,2
H,札幌,○,3,0,61,40,21,69,2
A,熊本,○,2,0,63,40,23,72,2
A,東京Ｖ,○,3,0,66,40,26,75,2
H,長崎,○,4,2,70,42,28,78,2
H,横浜FC,△,0,0,70,42,28,79,2
A,大分,○,2,1,72,43,29,82,2
