H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,北九州,○,3,1,3,1,2,1,0,0,3,2
A,京都,○,2,0,5,1,4,2,0,0,6,1
A,讃岐,●,0,1,5,2,3,2,0,1,6,4
H,大分,○,2,1,7,3,4,3,0,1,9,2
H,栃木,○,3,0,10,3,7,4,0,1,12,1
A,横浜FC,○,3,2,13,5,8,5,0,1,15,1
H,岡山,△,1,1,14,6,8,5,1,1,16,2
H,東京Ｖ,○,2,0,16,6,10,6,1,1,19,1
A,千葉,○,2,0,18,6,12,7,1,1,22,1
H,福岡,●,0,1,18,7,11,7,1,2,22,1
A,札幌,●,0,3,18,10,8,7,1,3,22,3
A,Ｃ大阪,○,2,1,20,11,9,8,1,3,25,2
H,水戸,○,2,1,22,12,10,9,1,3,28,1
A,大宮,△,1,1,23,13,10,9,2,3,29,1
H,群馬,●,1,2,24,15,9,9,2,4,29,3
A,徳島,△,2,2,26,17,9,9,3,4,30,3
H,金沢,○,2,1,28,18,10,10,3,4,33,2
A,長崎,○,1,0,29,18,11,11,3,4,36,2
H,岐阜,●,2,3,31,21,10,11,3,5,36,3
A,愛媛,○,2,0,33,21,12,12,3,5,39,2
H,熊本,△,1,1,34,22,12,12,4,5,40,2
H,讃岐,△,1,1,35,23,12,12,5,5,41,2
A,栃木,○,2,0,37,23,14,13,5,5,44,2
H,千葉,○,1,0,38,23,15,14,5,5,47,2
A,岐阜,●,0,2,38,25,13,14,5,6,47,2
H,Ｃ大阪,●,0,1,38,26,12,14,5,7,47,2
A,岡山,○,2,1,40,27,13,15,5,7,50,2
H,京都,△,3,3,43,30,13,15,6,7,51,2
A,福岡,●,0,2,43,32,11,15,6,8,51,2
H,徳島,○,3,1,46,33,13,16,6,8,54,2
A,金沢,○,3,0,49,33,16,17,6,8,57,2
H,愛媛,△,0,0,49,33,16,17,7,8,58,2
A,群馬,○,3,2,52,35,17,18,7,8,61,2
A,北九州,○,3,2,55,37,18,19,7,8,64,2
H,大宮,△,2,2,57,39,18,19,8,8,65,2
A,水戸,△,1,1,58,40,18,19,9,8,66,2
H,札幌,○,3,0,61,40,21,20,9,8,69,2
A,熊本,○,2,0,63,40,23,21,9,8,72,2
A,東京Ｖ,○,3,0,66,40,26,22,9,8,75,2
H,長崎,○,4,2,70,42,28,23,9,8,78,2
H,横浜FC,△,0,0,70,42,28,23,10,8,79,2
A,大分,○,2,1,72,43,29,24,10,8,82,2
