H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
H,Ｃ大阪,●,0,1,0,1,-1,0,17
H,京都,△,1,1,1,2,-1,1,16
A,山口,○,2,0,3,2,1,4,9
H,金沢,○,2,1,5,3,2,7,7
A,東京Ｖ,○,1,0,6,3,3,10,5
H,札幌,○,2,0,8,3,5,13,2
A,山形,○,1,0,9,3,6,16,2
A,千葉,△,1,1,10,4,6,17,2
H,長崎,○,1,0,11,4,7,20,1
A,岡山,△,2,2,13,6,7,21,1
H,岐阜,△,1,1,14,7,7,22,3
A,讃岐,○,1,0,15,7,8,25,1
H,北九州,●,0,1,15,8,7,25,2
A,松本,●,0,1,15,9,6,25,3
A,熊本,○,2,0,17,9,8,28,2
H,徳島,○,1,0,18,9,9,31,2
H,清水,●,1,2,19,11,8,31,4
A,水戸,△,2,2,21,13,8,32,6
H,愛媛,●,0,1,21,14,7,32,6
A,横浜FC,●,0,1,21,15,6,32,7
A,群馬,△,2,2,23,17,6,33,7
H,山形,○,2,1,25,18,7,36,7
H,千葉,●,2,3,27,21,6,36,8
A,Ｃ大阪,○,3,1,30,22,8,39,6
H,水戸,△,3,3,33,25,8,40,7
A,長崎,●,0,1,33,26,7,40,7
H,山口,●,2,3,35,29,6,40,8
A,徳島,△,1,1,36,30,6,41,8
A,京都,●,0,1,36,31,5,41,8
H,群馬,△,0,0,36,31,5,42,8
H,横浜FC,△,1,1,37,32,5,43,9
A,金沢,○,2,1,39,33,6,46,8
A,札幌,●,2,3,41,36,5,46,8
H,東京Ｖ,○,2,1,43,37,6,49,7
A,清水,●,0,2,43,39,4,49,7
H,熊本,○,1,0,44,39,5,52,7
A,岐阜,○,2,1,46,40,6,55,7
H,讃岐,●,0,1,46,41,5,55,7
H,岡山,△,1,1,47,42,5,56,8
H,北九州,○,3,1,50,43,7,59,7
H,松本,○,2,1,52,44,8,62,7
A,愛媛,○,1,0,53,44,9,65,7
