H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,京都,△,1,1,1,1,0,0,1,0,1,9
H,Ｃ大阪,●,0,1,1,2,-1,0,1,1,1,16
A,金沢,△,0,0,1,2,-1,0,2,1,2,19
H,岡山,●,2,3,3,5,-2,0,2,2,2,19
A,岐阜,●,0,1,3,6,-3,0,2,3,2,21
H,群馬,○,1,0,4,6,-2,1,2,3,5,18
H,愛媛,●,1,2,5,8,-3,1,2,4,5,18
A,東京Ｖ,○,3,0,8,8,0,2,2,4,8,16
H,千葉,○,1,0,9,8,1,3,2,4,11,15
A,徳島,●,0,1,9,9,0,3,2,5,11,15
H,北九州,△,1,1,10,10,0,3,3,5,12,15
H,札幌,●,0,1,10,11,-1,3,3,6,12,17
A,熊本,○,1,0,11,11,0,4,3,6,15,13
A,讃岐,△,1,1,12,12,0,4,4,6,16,15
H,清水,△,0,0,12,12,0,4,5,6,17,16
A,横浜FC,△,1,1,13,13,0,4,6,6,18,14
H,町田,△,2,2,15,15,0,4,7,6,19,16
A,山口,●,0,1,15,16,-1,4,7,7,19,18
A,山形,△,2,2,17,18,-1,4,8,7,20,17
H,松本,●,2,3,19,21,-2,4,8,8,20,18
A,千葉,○,1,0,20,21,-1,5,8,8,23,16
H,岐阜,○,1,0,21,21,0,6,8,8,26,14
H,長崎,●,0,2,21,23,-2,6,8,9,26,16
A,町田,△,3,3,24,26,-2,6,9,9,27,16
H,金沢,○,3,0,27,26,1,7,9,9,30,14
A,松本,△,0,0,27,26,1,7,10,9,31,14
H,熊本,△,1,1,28,27,1,7,11,9,32,14
A,群馬,●,1,2,29,29,0,7,11,10,32,15
H,讃岐,○,3,2,32,31,1,8,11,10,35,14
A,長崎/8節,△,1,1,33,32,1,8,12,10,36,14
H,東京Ｖ,△,1,1,34,33,1,8,13,10,37,14
A,清水,●,1,2,35,35,0,8,13,11,37,14
A,愛媛,△,1,1,36,36,0,8,14,11,38,14
H,山形,○,1,0,37,36,1,9,14,11,41,13
A,札幌,●,0,1,37,37,0,9,14,12,41,14
H,横浜FC,△,1,1,38,38,0,9,15,12,42,13
H,京都,△,1,1,39,39,0,9,16,12,43,14
A,Ｃ大阪,△,2,2,41,41,0,9,17,12,44,14
H,徳島,●,0,3,41,44,-3,9,17,13,44,14
H,岡山,○,2,1,43,45,-2,10,17,13,47,13
A,北九州,△,2,2,45,47,-2,10,18,13,48,13
H,山口,●,0,2,45,49,-4,10,18,14,48,13
