H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,山口,△,1,1,1,1,0,0,1,0,1,9
H,千葉,○,2,1,3,2,1,1,1,0,4,6
H,京都,△,2,2,5,4,1,1,2,0,5,7
A,水戸,○,3,2,8,6,2,2,2,0,8,5
H,北九州,○,2,0,10,6,4,3,2,0,11,3
H,東京Ｖ,△,1,1,11,7,4,3,3,0,12,4
A,札幌,●,0,1,11,8,3,3,3,1,12,7
A,群馬,○,1,0,12,8,4,4,3,1,15,3
H,山形,●,0,1,12,9,3,4,3,2,15,5
H,町田,△,2,2,14,11,3,4,4,2,16,7
A,横浜FC,○,2,0,16,11,5,5,4,2,19,5
A,長崎,○,3,0,19,11,8,6,4,2,22,4
H,岐阜,●,0,1,19,12,7,6,4,3,22,5
H,愛媛,○,2,1,21,13,8,7,4,3,25,2
A,Ｃ大阪,●,1,2,22,15,7,7,4,4,25,6
H,熊本,○,2,1,24,16,8,8,4,4,28,4
A,徳島,○,3,2,27,18,9,9,4,4,31,3
H,松本,○,2,1,29,19,10,10,4,4,34,2
A,金沢,△,1,1,30,20,10,10,5,4,35,4
A,讃岐,○,1,0,31,20,11,11,5,4,38,4
H,清水,△,2,2,33,22,11,11,6,4,39,4
A,東京Ｖ,●,1,2,34,24,10,11,6,5,39,4
H,札幌,△,0,0,34,24,10,11,7,5,40,4
H,横浜FC,●,0,1,34,25,9,11,7,6,40,5
A,山形,○,1,0,35,25,10,12,7,6,43,4
A,北九州,○,3,1,38,26,12,13,7,6,46,4
H,徳島,○,1,0,39,26,13,14,7,6,49,3
A,愛媛,△,1,1,40,27,13,14,8,6,50,4
H,讃岐,○,3,1,43,28,15,15,8,6,53,3
A,千葉,●,0,2,43,30,13,15,8,7,53,4
H,山口,○,1,0,44,30,14,16,8,7,56,4
A,熊本,△,0,0,44,30,14,16,9,7,57,5
H,長崎,△,0,0,44,30,14,16,10,7,58,4
A,岐阜,○,5,0,49,30,19,17,10,7,61,4
A,松本,△,1,1,50,31,19,17,11,7,62,5
H,Ｃ大阪,△,1,1,51,32,19,17,12,7,63,5
H,金沢,●,1,2,52,34,18,17,12,8,63,5
A,京都,●,0,2,52,36,16,17,12,9,63,5
A,町田,△,1,1,53,37,16,17,13,9,64,5
A,水戸,●,1,2,54,39,15,17,13,10,64,6
A,清水,●,1,2,55,41,14,17,13,11,64,6
H,群馬,△,3,3,58,44,14,17,14,11,65,6
