H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,岡山,△,1,1,1,1,0,0,1,0,1,9
A,北九州,○,1,0,2,1,1,1,1,0,4,7
H,町田,●,0,2,2,3,-1,1,1,1,4,11
A,横浜FC,●,0,2,2,5,-3,1,1,2,4,16
A,松本,△,3,3,5,8,-3,1,2,2,5,13
H,讃岐,○,1,0,6,8,-2,2,2,2,8,10
A,熊本,○,2,1,8,9,-1,3,2,2,11,10
A,徳島,△,1,1,9,10,-1,3,3,2,12,10
H,千葉,○,4,2,13,12,1,4,3,2,15,7
A,岐阜,○,2,1,15,13,2,5,3,2,18,5
H,群馬,○,2,0,17,13,4,6,3,2,21,4
H,金沢,●,0,1,17,14,3,6,3,3,21,5
A,Ｃ大阪,○,4,2,21,16,5,7,3,3,24,3
H,長崎,●,0,3,21,19,2,7,3,4,24,5
A,札幌,●,1,3,22,22,0,7,3,5,24,7
H,東京Ｖ,○,3,1,25,23,2,8,3,5,27,7
H,愛媛,△,1,1,26,24,2,8,4,5,28,7
A,京都,●,0,3,26,27,-1,8,4,6,28,9
H,水戸,○,1,0,27,27,0,9,4,6,31,7
H,清水,●,0,4,27,31,-4,9,4,7,31,8
A,山形,●,1,2,28,33,-5,9,4,8,31,8
H,北九州,○,5,1,33,34,-1,10,4,8,34,8
A,讃岐,○,2,0,35,34,1,11,4,8,37,7
A,愛媛,△,1,1,36,35,1,11,5,8,38,8
H,京都,△,1,1,37,36,1,11,6,8,39,8
H,札幌,●,1,2,38,38,0,11,6,9,39,8
A,町田,○,3,2,41,40,1,12,6,9,42,7
H,Ｃ大阪,●,0,2,41,42,-1,12,6,10,42,7
A,清水,△,2,2,43,44,-1,12,7,10,43,7
H,松本,△,0,0,43,44,-1,12,8,10,44,7
A,岡山,●,0,1,43,45,-2,12,8,11,44,8
A,千葉,△,1,1,44,46,-2,12,9,11,45,9
H,岐阜,●,2,3,46,49,-3,12,9,12,45,10
H,熊本,●,0,2,46,51,-5,12,9,13,45,11
A,金沢,●,0,1,46,52,-6,12,9,14,45,11
H,徳島,○,2,1,48,53,-5,13,9,14,48,10
A,長崎,●,1,2,49,55,-6,13,9,15,48,10
H,横浜FC,●,0,2,49,57,-8,13,9,16,48,11
A,東京Ｖ,△,2,2,51,59,-8,13,10,16,49,12
H,群馬,●,0,2,51,61,-10,13,10,17,49,12
H,山形,△,2,2,53,63,-10,13,11,17,50,12
A,水戸,○,2,0,55,63,-8,14,11,17,53,12
