H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,千葉,●,0,2,0,2,-2,0,0,1,0,20
A,松本,○,2,1,2,3,-1,1,0,1,3,13
H,大分,○,3,2,5,5,0,2,0,1,6,8
H,甲府,○,2,1,7,6,1,3,0,1,9,4
A,岡山,●,1,2,8,8,0,3,0,2,9,9
H,水戸,△,0,0,8,8,0,3,1,2,10,10
A,横浜FC,○,2,1,10,9,1,4,1,2,13,7
H,富山,○,1,0,11,9,2,5,1,2,16,5
A,北九州,○,1,0,12,9,3,6,1,2,19,2
H,栃木,○,2,1,14,10,4,7,1,2,22,2
A,東京Ｖ,○,2,0,16,10,6,8,1,2,25,2
H,愛媛,△,2,2,18,12,6,8,2,2,26,2
H,草津,○,1,0,19,12,7,9,2,2,29,1
A,福岡,△,1,1,20,13,7,9,3,2,30,1
H,岐阜,○,2,1,22,14,8,10,3,2,33,1
A,熊本,●,1,2,23,16,7,10,3,3,33,3
H,鳥取,○,5,1,28,17,11,11,3,3,36,1
A,京都,△,2,2,30,19,11,11,4,3,37,1
H,湘南,●,1,2,31,21,10,11,4,4,37,3
A,町田,△,0,0,31,21,10,11,5,4,38,4
H,徳島,○,1,0,32,21,11,12,5,4,41,1
A,栃木,●,0,1,32,22,10,12,5,5,41,4
A,富山,△,1,1,33,23,10,12,6,5,42,5
H,福岡,○,3,1,36,24,12,13,6,5,45,4
A,湘南,△,0,0,36,24,12,13,7,5,46,5
H,松本,△,1,1,37,25,12,13,8,5,47,6
A,水戸,△,2,2,39,27,12,13,9,5,48,7
H,横浜FC,●,0,1,39,28,11,13,9,6,48,7
A,愛媛,○,2,1,41,29,12,14,9,6,51,6
A,甲府,△,0,0,41,29,12,14,10,6,52,6
H,町田,○,3,1,44,30,14,15,10,6,55,4
A,徳島,△,2,2,46,32,14,15,11,6,56,4
A,鳥取,●,1,2,47,34,13,15,11,7,56,5
H,京都,●,1,2,48,36,12,15,11,8,56,7
A,草津,●,1,3,49,39,10,15,11,9,56,8
H,東京Ｖ,△,1,1,50,40,10,15,12,9,57,8
H,熊本,●,0,2,50,42,8,15,12,10,57,8
A,岐阜,△,0,0,50,42,8,15,13,10,58,8
H,北九州,○,1,0,51,42,9,16,13,10,61,8
H,千葉,●,0,2,51,44,7,16,13,11,61,8
A,大分,●,0,3,51,47,4,16,13,12,61,10
H,岡山,●,0,2,51,49,2,16,13,13,61,10
