H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,水戸,●,1,2,1,2,-1,0,15
H,愛媛,△,0,0,1,2,-1,1,16
A,千葉,●,0,3,1,5,-4,1,22
H,東京Ｖ,△,0,0,1,5,-4,2,21
H,甲府,●,0,2,1,7,-6,2,22
A,草津,△,1,1,2,8,-6,3,21
H,山形,●,1,2,3,10,-7,3,21
A,湘南,●,2,3,5,13,-8,3,22
H,京都,○,2,1,7,14,-7,6,19
A,岐阜,○,2,0,9,14,-5,9,16
H,町田,●,2,4,11,18,-7,9,19
H,岡山,●,0,1,11,19,-8,9,21
A,北九州,○,2,1,13,20,-7,12,15
H,富山,○,3,0,16,20,-4,15,15
A,松本,○,2,0,18,20,-2,18,14
A,鳥取,○,5,2,23,22,1,21,13
H,熊本,○,2,0,25,22,3,24,12
A,徳島,○,2,1,27,23,4,27,10
H,大分,●,0,1,27,24,3,27,11
A,栃木,○,4,3,31,27,4,30,9
H,福岡,△,1,1,32,28,4,31,10
A,町田,○,4,0,36,28,8,34,9
A,岡山,○,1,0,37,28,9,37,7
H,千葉,●,0,1,37,29,8,37,9
H,鳥取,○,3,1,40,30,10,40,9
A,富山,△,0,0,40,30,10,41,9
H,湘南,○,1,0,41,30,11,44,9
A,山形,○,1,0,42,30,12,47,8
A,京都,●,1,2,43,32,11,47,8
H,水戸,○,2,1,45,33,12,50,8
A,甲府,●,1,2,46,35,11,50,8
H,栃木,●,1,3,47,38,9,50,9
A,愛媛,○,1,0,48,38,10,53,8
H,松本,△,1,1,49,39,10,54,8
H,徳島,○,1,0,50,39,11,57,7
A,福岡,△,1,1,51,40,11,58,7
A,大分,○,2,1,53,41,12,61,6
H,北九州,●,1,2,54,43,11,61,6
A,熊本,○,1,0,55,43,12,64,5
H,草津,○,3,0,58,43,15,67,5
A,東京Ｖ,○,1,0,59,43,16,70,5
H,岐阜,○,3,2,62,45,17,73,4
