H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
H,山形,○,2,0,2,0,2,1,0,0,3,1
A,京都,●,0,2,2,2,0,1,0,1,3,11
H,横浜FC,○,3,0,5,2,3,2,0,1,6,5
A,福岡,△,0,0,5,2,3,2,1,1,7,7
H,徳島,○,3,0,8,2,6,3,1,1,10,3
A,栃木,●,1,2,9,4,5,3,1,2,10,7
A,水戸,○,1,0,10,4,6,4,1,2,13,5
H,岡山,△,0,0,10,4,6,4,2,2,14,6
A,松本,●,0,1,10,5,5,4,2,3,14,11
H,富山,△,1,1,11,6,5,4,3,3,15,11
A,北九州,○,2,1,13,7,6,5,3,3,18,10
A,草津,○,2,0,15,7,8,6,3,3,21,8
H,愛媛,○,1,0,16,7,9,7,3,3,24,6
A,町田,○,6,1,22,8,14,8,3,3,27,4
H,熊本,○,4,0,26,8,18,9,3,3,30,3
A,大分,○,2,0,28,8,20,10,3,3,33,2
H,岐阜,●,0,1,28,9,19,10,3,4,33,3
A,甲府,○,2,0,30,9,21,11,3,4,36,2
H,鳥取,○,3,1,33,10,23,12,3,4,39,1
A,東京Ｖ,●,1,2,34,12,22,12,3,5,39,2
H,湘南,△,1,1,35,13,22,12,4,5,40,2
A,熊本,●,0,1,35,14,21,12,4,6,40,5
H,京都,○,3,2,38,16,22,13,4,6,43,2
A,横浜FC,○,1,0,39,16,23,14,4,6,46,1
H,甲府,●,0,1,39,17,22,14,4,7,46,3
A,岡山,○,1,0,40,17,23,15,4,7,49,2
H,栃木,△,0,0,40,17,23,15,5,7,50,4
H,町田,●,0,1,40,18,22,15,5,8,50,6
A,鳥取,●,1,2,41,20,21,15,5,9,50,7
A,岐阜,△,0,0,41,20,21,15,6,9,51,7
H,水戸,○,3,0,44,20,24,16,6,9,54,6
H,福岡,○,2,1,46,21,25,17,6,9,57,3
A,富山,●,0,2,46,23,23,17,6,10,57,4
H,北九州,●,0,3,46,26,20,17,6,11,57,5
H,東京Ｖ,△,2,2,48,28,20,17,7,11,58,4
A,愛媛,△,2,2,50,30,20,17,8,11,59,5
H,草津,○,2,0,52,30,22,18,8,11,62,4
H,大分,●,1,2,53,32,21,18,8,12,62,5
A,湘南,△,1,1,54,33,21,18,9,12,63,6
A,山形,○,2,0,56,33,23,19,9,12,66,6
H,松本,○,2,0,58,33,25,20,9,12,69,6
A,徳島,○,3,0,61,33,28,21,9,12,72,5
