H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝ち点,順位
A,湘南,●,1,2,1,2,-1,0,15
H,千葉,○,2,0,3,2,1,3,8
H,熊本,○,2,0,5,2,3,6,5
A,鳥取,●,1,2,6,4,2,6,11
H,町田,○,2,1,8,5,3,9,8
H,福岡,○,3,2,11,7,4,12,4
A,岐阜,○,1,0,12,7,5,15,3
H,東京Ｖ,○,1,0,13,7,6,18,2
A,横浜FC,●,1,2,14,9,5,18,3
H,大分,●,1,2,15,11,4,18,7
A,松本,△,0,0,15,11,4,19,7
H,栃木,○,1,0,16,11,5,22,6
A,甲府,○,3,0,19,11,8,25,4
H,徳島,○,2,1,21,12,9,28,3
A,岡山,○,2,1,23,13,10,31,2
H,北九州,○,1,0,24,13,11,34,1
A,富山,△,1,1,25,14,11,35,2
H,山形,△,2,2,27,16,11,36,3
A,愛媛,●,1,2,28,18,10,36,5
H,草津,●,0,1,28,19,9,36,7
A,水戸,●,1,3,29,22,7,36,7
H,岡山,△,1,1,30,23,7,37,7
A,千葉,●,2,3,32,26,6,37,8
A,熊本,○,1,0,33,26,7,40,7
H,愛媛,○,2,1,35,27,8,43,7
A,町田,○,2,1,37,28,9,46,7
H,鳥取,○,3,1,40,29,11,49,6
A,東京Ｖ,○,1,0,41,29,12,52,4
H,横浜FC,○,2,1,43,30,13,55,2
H,松本,●,0,1,43,31,12,55,2
A,草津,●,0,1,43,32,11,55,5
H,湘南,●,1,2,44,34,10,55,6
A,大分,●,0,2,44,36,8,55,6
A,山形,○,2,1,46,37,9,58,4
H,水戸,○,4,1,50,38,12,61,3
A,栃木,○,2,1,52,39,13,64,3
H,富山,●,0,1,52,40,12,64,4
H,岐阜,○,3,1,55,41,14,67,2
A,徳島/36節,○,4,2,59,43,16,70,2
A,北九州,●,0,2,59,45,14,70,2
A,福岡,○,2,0,61,45,16,73,2
H,甲府,△,0,0,61,45,16,74,3
