H/A,対戦相手,試合結果,得点,失点,得点計,失点計,得失点差,勝利数,引分数,敗北数,勝ち点,順位
A,岐阜,△,2,2,2,2,0,0,1,0,1,10
A,熊本,●,1,2,3,4,-1,0,1,1,1,15
H,町田,●,0,3,3,7,-4,0,1,2,1,20
H,京都,○,2,1,5,8,-3,1,1,2,4,15
A,福岡,●,0,4,5,12,-7,1,1,3,4,19
H,湘南,●,1,2,6,14,-8,1,1,4,4,19
A,北九州,●,0,1,6,15,-9,1,1,5,4,19
H,甲府,△,0,0,6,15,-9,1,2,5,5,20
A,岡山,●,0,2,6,17,-11,1,2,6,5,22
H,愛媛,●,1,4,7,21,-14,1,2,7,5,22
A,栃木,○,1,0,8,21,-13,2,2,7,8,21
H,富山,○,1,0,9,21,-12,3,2,7,11,17
A,大分,●,0,3,9,24,-15,3,2,8,11,20
H,水戸,○,2,1,11,25,-14,4,2,8,14,16
A,徳島,●,0,3,11,28,-17,4,2,9,14,17
H,横浜FC,●,2,5,13,33,-20,4,2,10,14,18
A,山形,●,1,5,14,38,-24,4,2,11,14,20
H,東京Ｖ,●,0,2,14,40,-26,4,2,12,14,20
A,千葉,●,1,3,15,43,-28,4,2,13,14,20
H,松本,●,0,1,15,44,-29,4,2,14,14,21
A,草津,○,2,1,17,45,-28,5,2,14,17,20
H,北九州,●,1,2,18,47,-29,5,2,15,17,20
H,栃木,●,0,2,18,49,-31,5,2,16,17,20
A,東京Ｖ,●,0,1,18,50,-32,5,2,17,17,21
A,横浜FC,●,1,3,19,53,-34,5,2,18,17,21
H,岐阜,○,1,0,20,53,-33,6,2,18,20,20
A,京都,●,1,3,21,56,-35,6,2,19,20,20
H,岡山,●,0,2,21,58,-37,6,2,20,20,20
H,千葉,○,2,1,23,59,-36,7,2,20,23,19
A,町田,△,0,0,23,59,-36,7,3,20,24,19
H,徳島,●,0,3,23,62,-39,7,3,21,24,19
A,水戸,●,0,2,23,64,-41,7,3,22,24,20
H,山形,○,2,1,25,65,-40,8,3,22,27,19
A,甲府,△,1,1,26,66,-40,8,4,22,28,21
A,松本,●,1,7,27,73,-46,8,4,23,28,21
H,草津,○,2,0,29,73,-44,9,4,23,31,20
A,富山,●,1,2,30,75,-45,9,4,24,31,21
A,愛媛,△,0,0,30,75,-45,9,5,24,32,21
H,大分,○,1,0,31,75,-44,10,5,24,35,20
H,熊本,●,0,1,31,76,-45,10,5,25,35,20
A,湘南,●,0,1,31,77,-46,10,5,26,35,21
H,福岡,○,2,1,33,78,-45,11,5,26,38,20
